time,x,r,x_r,u_r
7.8,1.8421,0,1.8421,2
7.81,1.85368,0,1.85368,3
7.82,1.86514,0,1.86514,3
7.83,1.87649,0,1.87649,3
7.84,1.88773,0,1.88773,3
7.85,1.89885,0,1.89885,3
7.86,1.90986,0,1.90986,3
7.87,1.92076,0,1.92076,3
7.88,1.93155,0,1.93155,3
7.89,1.94224,0,1.94224,3
7.9,1.95282,0,1.95282,3
7.91,1.96329,0,1.96329,3
7.92,1.98366,0,1.98366,4
7.93,2.00382,0,2.00382,4
7.94,2.02378,0,2.02378,3
7.95,2.04354,0,2.04354,3
7.96,2.06311,0,2.06311,3
7.97,2.08248,0,2.08248,3
7.98,2.10165,0,2.10165,3
7.99,2.12064,0,2.12064,3
8,2.13943,0,2.13943,3
8.01,2.15803,0,2.15803,3
8.02,2.17645,0,2.17645,3
8.03,2.17469,0,2.17469,2
8.04,2.17294,0,2.17294,2
8.05,2.17121,0,2.17121,2
8.06,2.1695,0,2.1695,2
8.07,2.16781,0,2.16781,2
8.08,2.16613,0,2.16613,2
8.09,2.16447,0,2.16447,2
8.1,2.16282,0,2.16282,2
8.11,2.16119,0,2.16119,2
8.12,2.15958,0,2.15958,2
8.13,2.15799,0,2.15799,2
8.14,2.14641,0,2.14641,1
8.15,2.13494,0,2.13494,1
8.16,2.12359,0,2.12359,1
8.17,2.11236,0,2.11236,1
8.18,2.10123,0,2.10123,1
8.19,2.09022,0,2.09022,1
8.2,2.07932,0,2.07932,1
8.21,2.06853,0,2.06853,1
8.22,2.05784,0,2.05784,1
8.23,2.04726,0,2.04726,1
8.24,2.03679,0,2.03679,1
8.25,2.01642,0,2.01642,0
8.26,1.99626,0,1.99626,0
8.27,1.97629,0,1.97629,1
8.28,1.95653,0,1.95653,1
8.29,1.93697,0,1.93697,1
8.3,1.9176,0,1.9176,1
8.31,1.89842,0,1.89842,1
8.32,1.87944,0,1.87944,1
8.33,1.86064,0,1.86064,1
8.34,1.84204,0,1.84204,1
8.35,1.82362,0,1.82362,1
8.36,1.82538,0,1.82538,2
8.37,1.82713,0,1.82713,2
8.38,1.82885,0,1.82885,2
8.39,1.83057,0,1.83057,2
8.4,1.83226,0,1.83226,2
8.41,1.83394,0,1.83394,2
8.42,1.8356,0,1.8356,2
8.43,1.83724,0,1.83724,2
8.44,1.83887,0,1.83887,2
8.45,1.84048,0,1.84048,2
8.46,1.84208,0,1.84208,2
8.47,1.85366,0,1.85366,3
8.48,1.86512,0,1.86512,3
8.49,1.87647,0,1.87647,3
8.5,1.8877,0,1.8877,3
8.51,1.89883,0,1.89883,3
8.52,1.90984,0,1.90984,3
8.53,1.92074,0,1.92074,3
8.54,1.93153,0,1.93153,3
8.55,1.94222,0,1.94222,3
8.56,1.95279,0,1.95279,3
8.57,1.96327,0,1.96327,3
8.58,1.98363,0,1.98363,4
8.59,2.0038,0,2.0038,4
8.6,2.02376,0,2.02376,3
8.61,2.04352,0,2.04352,3
8.62,2.06309,0,2.06309,3
8.63,2.08246,0,2.08246,3
8.64,2.10163,0,2.10163,3
8.65,2.12061,0,2.12061,3
8.66,2.13941,0,2.13941,3
8.67,2.15801,0,2.15801,3
8.68,2.17643,0,2.17643,3
8.69,2.17467,0,2.17467,2
8.7,2.17292,0,2.17292,2
8.71,2.17119,0,2.17119,2
8.72,2.16948,0,2.16948,2
8.73,2.16779,0,2.16779,2
8.74,2.16611,0,2.16611,2
8.75,2.16445,0,2.16445,2
8.76,2.1628,0,2.1628,2
8.77,2.16118,0,2.16118,2
8.78,2.15956,0,2.15956,2
8.79,2.15797,0,2.15797,2
8.8,2.14639,0,2.14639,1
8.81,2.13492,0,2.13492,1
8.82,2.12358,0,2.12358,1
8.83,2.11234,0,2.11234,1
8.84,2.10122,0,2.10122,1
8.85,2.0902,0,2.0902,1
8.86,2.0793,0,2.0793,1
8.87,2.06851,0,2.06851,1
8.88,2.05782,0,2.05782,1
8.89,2.04725,0,2.04725,1
8.9,2.03677,0,2.03677,1
8.91,2.01641,0,2.01641,0
8.92,1.99624,0,1.99624,0
8.93,1.97628,0,1.97628,1
8.94,1.95652,0,1.95652,1
8.95,1.93695,0,1.93695,1
8.96,1.91758,0,1.91758,1
8.97,1.89841,0,1.89841,1
8.98,1.87942,0,1.87942,1
8.99,1.86063,0,1.86063,1
9,1.84202,0,1.84202,1
9.01,1.8236,0,1.8236,1
9.02,1.82537,0,1.82537,2
9.03,1.82711,0,1.82711,2
9.04,1.82884,0,1.82884,2
9.05,1.83055,0,1.83055,2
9.06,1.83225,0,1.83225,2
9.07,1.83392,0,1.83392,2
9.08,1.83558,0,1.83558,2
9.09,1.83723,0,1.83723,2
9.1,1.83886,0,1.83886,2
9.11,1.84047,0,1.84047,2
9.12,1.84206,0,1.84206,2
9.13,1.85364,0,1.85364,3
9.14,1.86511,0,1.86511,3
9.15,1.87646,0,1.87646,3
9.16,1.88769,0,1.88769,3
9.17,1.89881,0,1.89881,3
9.18,1.90983,0,1.90983,3
9.19,1.92073,0,1.92073,3
9.2,1.93152,0,1.93152,3
9.21,1.9422,0,1.9422,3
9.22,1.95278,0,1.95278,3
9.23,1.96326,0,1.96326,3
9.24,1.98362,0,1.98362,4
9.25,2.00379,0,2.00379,4
9.26,2.02375,0,2.02375,3
9.27,2.04351,0,2.04351,3
9.28,2.06308,0,2.06308,3
9.29,2.08245,0,2.08245,3
9.3,2.10162,0,2.10162,3
9.31,2.1206,0,2.1206,3
9.32,2.1394,0,2.1394,3
9.33,2.158,0,2.158,3
9.34,2.17642,0,2.17642,3
9.35,2.17466,0,2.17466,2
9.36,2.17291,0,2.17291,2
9.37,2.17118,0,2.17118,2
9.38,2.16947,0,2.16947,2
9.39,2.16778,0,2.16778,2
9.4,2.1661,0,2.1661,2
9.41,2.16444,0,2.16444,2
9.42,2.16279,0,2.16279,2
9.43,2.16117,0,2.16117,2
9.44,2.15956,0,2.15956,2
9.45,2.15796,0,2.15796,2
9.46,2.14638,0,2.14638,1
9.47,2.13492,0,2.13492,1
9.48,2.12357,0,2.12357,1
9.49,2.11233,0,2.11233,1
9.5,2.10121,0,2.10121,1
9.51,2.0902,0,2.0902,1
9.52,2.07929,0,2.07929,1
9.53,2.0685,0,2.0685,1
9.54,2.05782,0,2.05782,1
9.55,2.04724,0,2.04724,1
9.56,2.03677,0,2.03677,1
9.57,2.0164,0,2.0164,0
9.58,1.99623,0,1.99623,0
9.59,1.97627,0,1.97627,1
9.6,1.95651,0,1.95651,1
9.61,1.93694,0,1.93694,1
9.62,1.91757,0,1.91757,1
9.63,1.8984,0,1.8984,1
9.64,1.87941,0,1.87941,1
9.65,1.86062,0,1.86062,1
9.66,1.84201,0,1.84201,1
9.67,1.82359,0,1.82359,1
9.68,1.82536,0,1.82536,2
9.69,1.8271,0,1.8271,2
9.7,1.82883,0,1.82883,2
9.71,1.83055,0,1.83055,2
9.72,1.83224,0,1.83224,2
9.73,1.83392,0,1.83392,2
9.74,1.83558,0,1.83558,2
9.75,1.83722,0,1.83722,2
9.76,1.83885,0,1.83885,2
9.77,1.84046,0,1.84046,2
9.78,1.84206,0,1.84206,2
9.79,1.85364,0,1.85364,3
9.8,1.8651,0,1.8651,3
9.81,1.87645,0,1.87645,3
9.82,1.88768,0,1.88768,3
9.83,1.89881,0,1.89881,3
9.84,1.90982,0,1.90982,3
9.85,1.92072,0,1.92072,3
9.86,1.93151,0,1.93151,3
9.87,1.9422,0,1.9422,3
9.88,1.95278,0,1.95278,3
9.89,1.96325,0,1.96325,3
9.9,1.98362,0,1.98362,4
9.91,2.00378,0,2.00378,4
9.92,2.02374,0,2.02374,3
9.93,2.04351,0,2.04351,3
9.94,2.06307,0,2.06307,3
9.95,2.08244,0,2.08244,3
9.96,2.10162,0,2.10162,3
9.97,2.1206,0,2.1206,3
9.98,2.13939,0,2.13939,3
9.99,2.158,0,2.158,3
10,2.17642,0,2.17642,3
